company,document,link,effective_date,total_words,total_sentences,total_syllables,average_words_per_sentence,average_syllables_per_word,fre,fk
Google,Google Terms of Service,https://policies.google.com/terms?hl=en-US,1/5/2022,3419,111,5463,30.80,1.60,40.39,15.28
Google,Google Terms of Service,https://policies.google.com/terms/archive/20200331?hl=en-US,03/31/2020,3841,127,6173,30.24,1.61,40.17,15.17
Google,Google Terms of Service,https://policies.google.com/terms/archive/20171025?hl=en-US,10/25/2017,1881,93,2923,20.23,1.55,54.84,10.63
Google,Google Terms of Service,https://policies.google.com/terms/archive/20140414?hl=en-US,4/14/2014,1881,93,2923,20.23,1.55,54.84,10.63
Google,Google Terms of Service,https://policies.google.com/terms/archive/20131111?hl=en-US,11/11/2013,1831,91,2840,20.12,1.55,55.19,10.56
Google,Google Terms of Service,https://policies.google.com/terms/archive/20120301?hl=en-US,3/1/2012,1682,83,2619,20.27,1.56,54.54,10.69
Google,Google Terms of Service,https://policies.google.com/terms/archive/20070416?hl=en-US,4/16/2007,4216,140,6284,30.11,1.49,50.17,13.74
Google,Google Terms of Service,https://policies.google.com/terms/archive/20051105?hl=en-US,11/5/2005,1669,58,2696,28.78,1.62,40.97,14.69
Google,Google Terms of Service,https://policies.google.com/terms/archive/20030329?hl=en-US,3/29/2003,1654,57,2675,29.02,1.62,40.56,14.81
Google,Google Terms of Service,https://policies.google.com/terms/archive/20021108?hl=en-US,11/8/2002,1644,56,2656,29.36,1.62,40.36,14.92
Google,Google Terms of Service,https://policies.google.com/terms/archive/20020906?hl=en-US,9/6/2002,1634,56,2620,29.18,1.6,41.57,14.71
Google,Google Terms of Service,https://policies.google.com/terms/archive/20011217?hl=en-US,12/17/2001,1634,56,2620,29.18,1.6,41.57,14.71
Google,Google Terms of Service,https://policies.google.com/terms/archive/20010915?hl=en-US,9/15/2001,1597,55,2567,29.04,1.61,41.38,14.7
Google,Google Terms of Service,https://policies.google.com/terms/archive/20010606?hl=en-US,6/6/2001,1714,59,2756,29.05,1.61,41.32,14.71
Google,Google Terms of Service,https://policies.google.com/terms/archive/20010421?hl=en-US,4/21/2001,1714,59,2758,29.05,1.61,41.22,14.73
Google,Google Terms of Service,https://policies.google.com/terms/archive/20000427?hl=en-US,4/27/2000,1668,56,2691,29.79,1.61,40.12,15.06
Google,Google Terms of Service,https://policies.google.com/terms/archive/20000425?hl=en-US,4/25/2000,1651,55,2666,30.02,1.61,39.76,15.17
Google,Google Terms of Service,https://policies.google.com/terms/archive/19990921?hl=en-US,9/21/1999,1504,49,2420,30.69,1.61,39.56,15.37
Google,Google Terms of Service,https://policies.google.com/terms/archive/19990920?hl=en-US,9/20/1999,887,27,1472,32.85,1.66,33.09,16.8
Google,Google Privacy Policy,https://policies.google.com/privacy?hl=en-US,10/4/2022,5622,211,9186,26.64,1.63,41.56,14.08
Google,Google Privacy Policy,https://policies.google.com/privacy/archive/20220210?hl=en-US,2/10/2022,8847,346,14173,25.57,1.6,45.35,13.29
Google,Google Privacy Policy,https://policies.google.com/privacy/archive/20210701?hl=en-US,7/1/2021,8442,337,13567,25.05,1.61,45.45,13.14
Google,Google Privacy Policy,https://policies.google.com/privacy/archive/20210204?hl=en-US,2/4/2021,8382,334,13474,25.1,1.61,45.37,13.17
